UNIQUE PART TYPES SUMMARY
Name,Width(mm),Height(mm),Thickness(mm),Material,Grain Direction,Total Quantity,Total Area(mm²)
Back board,560,660,20,Hardwood Plywood (4C2IOU),any,4,1478400
Component#4,179,307,30,CHESTNUT_WOOD,vertical,6,329718.0
CounterTop,590,600,45,GRANITE,any,4,1416000.0
Facade,298,698,37.2,CHESTNUT_WOOD,vertical,4,832016.0
Facade2,298,698,37.2,CHESTNUT_WOOD,vertical,4,832016.0
Facadea,298,398,37.2,CHESTNUT_WOOD,any,4,474416.0
Facadeaa,298,398,37.2,CHESTNUT_WOOD,any,4,474416.0
Left side,300,700,20,Oak (CPRTF8),vertical,4,840000
Left side2,560,850,20,Oak (CPRTF8),vertical,3,1428000
Lower board,300,560,20,Oak (CPRTF8),vertical,4,672000
Lower board`1,560,560,20,CHESTNUT_WOOD,any,4,1254400
Plinth``1,150,600,20,Oak (CPRTF8),vertical,4,360000
Right side,300,700,20,Oak (CPRTF8),vertical,4,840000
Shelf 1,230,560,20,Plywood,vertical,4,515200.0
Shelf 1`1,490,560,20,CHESTNUT_WOOD,any,4,1097600
Shelf 2,230,560,20,Plywood,vertical,4,515200.0
Shelf 2`1,490,560,20,CHESTNUT_WOOD,any,4,1097600
Up board,300,560,20,Hardwood Plywood (4C2IOU),vertical,4,672000

PARTS PLACED (DETAILED LIST)
Unique ID,Name,Width(mm),Height(mm),Thickness(mm),Material,Area(mm²),Board#,X Pos(mm),Y Pos(mm),Rotated,Grain Direction
P1,Lower board`1,560,560,20,CHESTNUT_WOOD,313600,1,0,0,No,any
P2,Lower board`1,560,560,20,CHESTNUT_WOOD,313600,1,570,0,No,any
P3,Lower board`1,560,560,20,CHESTNUT_WOOD,313600,1,1140,0,No,any
P4,Lower board`1,560,560,20,CHESTNUT_WOOD,313600,1,1710,0,No,any
P5,Shelf 2`1,490,560,20,CHESTNUT_WOOD,274400,1,0,570,No,any
P6,Shelf 2`1,490,560,20,CHESTNUT_WOOD,274400,1,500,570,No,any
P7,Shelf 2`1,490,560,20,CHESTNUT_WOOD,274400,1,1000,570,No,any
P8,Shelf 2`1,490,560,20,CHESTNUT_WOOD,274400,1,1500,570,No,any
P9,Facadeaa,298,398,37.2,CHESTNUT_WOOD,118604,1,2000,570,No,any
P10,Shelf 1`1,490,560,20,CHESTNUT_WOOD,274400,2,0,0,No,any
P11,Shelf 1`1,490,560,20,CHESTNUT_WOOD,274400,2,500,0,No,any
P12,Shelf 1`1,490,560,20,CHESTNUT_WOOD,274400,2,1000,0,No,any
P13,Shelf 1`1,490,560,20,CHESTNUT_WOOD,274400,2,1500,0,No,any
P14,Facade,298,698,37.2,CHESTNUT_WOOD,208004,2,2000,0,No,vertical
P15,Facadeaa,298,398,37.2,CHESTNUT_WOOD,118604,2,0,570,No,any
P16,Facadeaa,298,398,37.2,CHESTNUT_WOOD,118604,2,310,570,No,any
P17,Facadeaa,298,398,37.2,CHESTNUT_WOOD,118604,2,620,570,No,any
P18,Facadea,298,398,37.2,CHESTNUT_WOOD,118604,2,930,570,No,any
P19,Facadea,298,398,37.2,CHESTNUT_WOOD,118604,2,1240,570,No,any
P20,Facadea,298,398,37.2,CHESTNUT_WOOD,118604,2,1550,570,No,any
P21,Facadea,298,398,37.2,CHESTNUT_WOOD,118604,2,1860,710,No,any
